meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.1680113386,0.0688734014,0.1679178886,0.1159824047,0.2280645161,0.1120821114,2.3196262581,8.564218273,0.926521541,0.5676209721,0.1213196481,0.1680113386,0.1017189284,0.016,0.262295082,0.2041529605,0.0078125,0.625,0.6171875,0.2319534725,male
0.1482813826,0.0681171837,0.1298927806,0.0948677627,0.2003431022,0.1054753395,3.2684749457,22.8964449095,0.9426261124,0.6358529825,0.1212866333,0.1482813826,0.0975316074,0.0158102767,0.275862069,0.7157451923,0.0078125,5.2265625,5.21875,0.1392215569,male
0.1585959554,0.0662166524,0.133302217,0.1110851809,0.2244574096,0.1133722287,3.019164195,17.5364251272,0.9324151592,0.5679134894,0.1212135356,0.1585959554,0.0804598269,0.016064257,0.2666666667,0.2641289894,0.0078125,1.3359375,1.328125,0.1820971867,male
0.1636431816,0.0700307165,0.1441211102,0.1106812447,0.2274852817,0.116804037,1.6995287541,7.628756036,0.9483834398,0.6325793152,0.1212783852,0.1636431816,0.0555653493,0.016276704,0.2133333333,0.1626420455,0.03125,0.671875,0.640625,0.1162347561,male
0.1586569254,0.0675640574,0.1610619469,0.1044520082,0.2191967325,0.1147447243,1.9396625325,8.2038320802,0.9421899127,0.6135781626,0.1212253233,0.1586569254,0.1013949163,0.0157790927,0.275862069,0.4677972561,0.0078125,6.8828125,6.875,0.0909375,male
0.1378928201,0.0724206627,0.1198523985,0.0865313653,0.200701107,0.1141697417,2.0109933025,10.2620740441,0.9632943726,0.7270472244,0.0599261993,0.1378928201,0.0763074183,0.0162107396,0.128,0.505859375,0.03125,4.6640625,4.6328125,0.1730372869,male
0.1427155853,0.0741635911,0.1278500986,0.0889151874,0.2062721893,0.117357002,1.5522694403,7.2301879462,0.9666848725,0.7531876416,0.0601972387,0.1427155853,0.0988725568,0.018735363,0.2077922078,0.8532986111,0.0078125,4.6640625,4.65625,0.2129885511,male
0.1350529139,0.072095147,0.1129270128,0.0876448457,0.2003611738,0.1127163281,3.4217794371,19.1332172982,0.9484173474,0.6829877123,0.1026034612,0.1350529139,0.0907510579,0.0172413793,0.2,0.6153125,0.015625,4.4453125,4.4296875,0.2171516755,male
0.1414607603,0.0728613947,0.1248792884,0.0907242694,0.2011944091,0.1104701398,2.2641149868,13.0822967978,0.9648729086,0.7342904265,0.0601270648,0.1414607603,0.1013947601,0.0217983651,0.2352941176,0.8962823276,0.0078125,5.15625,5.1484375,0.2391389872,male
0.1412801152,0.0744040482,0.1342061701,0.0905944319,0.2020466516,0.1114522197,2.0525506569,10.9413056776,0.9665882046,0.7447998714,0.0600451467,0.1412801152,0.109319559,0.0267111853,0.2285714286,0.9746875,0.0390625,5.828125,5.7890625,0.1680161943,male
0.1538512034,0.0721915753,0.1445920942,0.1024390244,0.2194785534,0.117039529,1.7588925201,7.1324384474,0.9547108687,0.684616797,0.0600504626,0.1538512034,0.1122564095,0.0247295209,0.275862069,0.6287006579,0.0078125,2.703125,2.6953125,0.206763285,male
0.1456407047,0.0770064087,0.1379472141,0.0878592375,0.2118475073,0.1239882698,2.1114805651,11.535716114,0.9649254882,0.7393683567,0.059941349,0.1456407047,0.1036695061,0.0156709109,0.275862069,0.9204799107,0.0078125,5.4296875,5.421875,0.2709467392,male
0.1448584069,0.0765918167,0.1355717762,0.0906082725,0.2076155718,0.1170072993,2.7975019353,29.5536466012,0.9719074061,0.7636381692,0.0599513382,0.1448584069,0.1032495601,0.0212765957,0.2666666667,0.7916666667,0.0078125,4.9921875,4.984375,0.1596786834,male
0.1216833626,0.0868501117,0.1182370459,0.0306849315,0.2152948183,0.1846098868,2.0623240561,8.4655735126,0.9316606889,0.5492176942,0.117903514,0.1216833626,0.1308875248,0.0203562341,0.2711864407,0.5834173387,0.0078125,3.7265625,3.71875,0.2532212885,male
0.1356499321,0.0864123306,0.1267224547,0.049986053,0.2288423989,0.1788563459,1.3882763282,5.0090165496,0.9525140694,0.6598138358,0.1148117155,0.1356499321,0.1343142129,0.0608365019,0.25,1.10875,0.0078125,4.296875,4.2890625,0.3692664348,male
0.1003994171,0.0728345701,0.0817251755,0.0440922768,0.1443530592,0.1002607823,0.529583803,2.0684554908,0.9701941624,0.7545522055,0.0116549649,0.1003994171,0.1173593211,0.015936255,0.262295082,1.0867598684,0.0078125,4.34375,4.3359375,0.3448648649,male
0.125087547,0.0801166951,0.1141911211,0.0573062453,0.2014145974,0.1441083521,2.3773896556,10.5507201691,0.9484959283,0.6706330076,0.1118735892,0.125087547,0.1147427256,0.0243902439,0.2711864407,0.5600328947,0.0078125,4.296875,4.2890625,0.2266747622,male
0.1434861622,0.0702754868,0.1238687973,0.1017325484,0.2112363331,0.1095037847,1.793199734,6.6615334016,0.9422785868,0.6101708211,0.1064423886,0.1434861622,0.1208153687,0.0333333333,0.2666666667,1.1166666667,0.09375,4.5625,4.46875,0.3503227542,male
0.1431968299,0.0854473875,0.1253527981,0.0962287105,0.2326520681,0.1364233577,1.9361265325,7.989100746,0.9407291338,0.585174796,0.1130900243,0.1431968299,0.1102603026,0.0272572402,0.262295082,0.6527777778,0.0078125,4.5703125,4.5625,0.1873972603,male
0.1455323814,0.0878640432,0.1297205978,0.0889668616,0.2337881741,0.1448213125,1.4587988371,5.0103793658,0.9465953659,0.6213920743,0.1158934373,0.1455323814,0.1038031369,0.0156862745,0.275862069,0.7063419118,0.0078125,4.9765625,4.96875,0.1668096055,male
0.1620654293,0.0844322912,0.1431490159,0.1123149016,0.2494283037,0.1371134021,1.5785632815,5.1794488062,0.9434046692,0.5951279637,0.2689784442,0.1620654293,0.1170222688,0.0165289256,0.25,0.5991443452,0.0078125,4.578125,4.5703125,0.18921762,male
0.1429612328,0.0831068991,0.1292923517,0.09807005,0.2281629736,0.1300929235,1.831167575,7.1587651037,0.9461340585,0.6316889761,0.1124803431,0.1429612328,0.1317335725,0.0540540541,0.25,0.410546875,0.0078125,2.71875,2.7109375,0.1563779766,male
0.1411534471,0.0809221885,0.1243049327,0.0971524664,0.2222421525,0.1250896861,1.7242978369,6.3135165057,0.9499588961,0.6466530467,0.1093946188,0.1411534471,0.1172978359,0.0188679245,0.2580645161,0.6396169355,0.0078125,4.0625,4.0546875,0.1872300844,male
0.1673340353,0.0471777271,0.1618021548,0.1354750245,0.1807247796,0.0452497551,3.9619083618,24.4196217903,0.880375253,0.3443073116,0.1661900098,0.1673340353,0.1418104062,0.0160320641,0.253968254,0.578125,0.125,6.921875,6.796875,0.0216475096,male
0.1678503123,0.0525935888,0.1632621951,0.1284756098,0.1903658537,0.0618902439,1.9192295229,7.131328753,0.9205127091,0.4038658077,0.1668902439,0.1678503123,0.1215462539,0.0159521436,0.262295082,0.8131793478,0.0703125,6.5703125,6.5,0.0741887019,male
0.1850984387,0.0542894418,0.176771888,0.1464204884,0.2166289458,0.0702084574,1.6017391801,5.2237863323,0.9103209154,0.3580230726,0.1652650387,0.1850984387,0.1309833276,0.0161616162,0.2666666667,0.568287037,0.0078125,5.140625,5.1328125,0.0958269914,male
0.1677615378,0.0588833701,0.1599340297,0.1256074766,0.2008796042,0.0752721275,2.5315003959,11.5094854321,0.923640119,0.4851177543,0.1268389225,0.1677615378,0.1320890637,0.0185399768,0.253968254,1.0485197368,0.0078125,6.84375,6.8359375,0.0583736264,male
0.1710935017,0.061286735,0.1486913801,0.1255560518,0.2334792318,0.10792318,2.7895933529,13.537514558,0.9098366711,0.3953281656,0.1295578383,0.1710935017,0.1320753652,0.0261865794,0.2025316456,0.2992788462,0.0078125,0.6796875,0.671875,0.2015503876,male
0.1670830539,0.0644256732,0.1817051153,0.1075626881,0.2207422267,0.1131795386,1.8709435261,8.3815571423,0.9348581257,0.5209260054,0.0922567703,0.1670830539,0.1026264382,0.0208333333,0.25,0.6378348214,0.21875,5.203125,4.984375,0.0219435737,male
0.2008301454,0.0530662166,0.210058873,0.1853322119,0.2361984861,0.0508662742,1.8409014437,6.0068009085,0.9076831357,0.3868184685,0,0.2008301454,0.1651553814,0.0157635468,0.2711864407,1.0670572917,0.0703125,5.59375,5.5234375,0.3363764948,male
0.1370956433,0.0666331531,0.1028734811,0.0850607577,0.1971408149,0.1120800572,4.0782168596,25.6632155853,0.9122157613,0.5078862014,0.0842601858,0.1370956433,0.0811647388,0.0166666667,0.262295082,0.1953125,0.0078125,2.171875,2.1640625,0.0460600025,male
0.1903245629,0.0516957238,0.1914104193,0.1568996188,0.2205844981,0.0636848793,1.461858806,5.3603189275,0.9180012454,0.3623442759,0,0.1903245629,0.1520125447,0.0211360634,0.2461538462,0.8845486111,0.0078125,6.71875,6.7109375,0.2117345751,male
0.1871394535,0.0564994065,0.1761093847,0.1430453698,0.2476320696,0.1045866998,1.4111533142,4.149301675,0.9022469868,0.2985994771,0.1661901802,0.1871394535,0.1381976013,0.0166840459,0.231884058,0.8013392857,0.125,6.640625,6.515625,0.1270060874,male
0.1843548693,0.0554939411,0.1834306569,0.1509002433,0.226350365,0.0754501217,1.5880138585,8.9900482026,0.9328347865,0.4277552544,0,0.1843548693,0.1337174498,0.0185185185,0.2666666667,1.795625,0.0078125,7,6.9921875,0.3161039592,male
0.200041812,0.0558151308,0.2107921382,0.1665991662,0.2434782609,0.0768790947,2.9267807049,15.2537868036,0.9146340118,0.4129194664,0.24064324,0.200041812,0.159106931,0.0201005025,0.2666666667,0.62265625,0.15625,6.390625,6.234375,0.119743804,male
0.1756818678,0.0555240942,0.1731510255,0.1482660037,0.2150901181,0.0668241144,1.7598529436,6.4713639671,0.9340606695,0.5125622482,0,0.1756818678,0.1493867042,0.0199004975,0.253968254,0.807112069,0.0078125,6.5625,6.5546875,0.1904903797,male
0.1848508968,0.062446727,0.1898094028,0.1337738247,0.2385514612,0.1047776366,1.6610608456,10.8941078624,0.9343233736,0.4678264779,0,0.1848508968,0.1393782576,0.0250783699,0.275862069,1.7525,0.078125,6.7265625,6.6484375,0.3497675369,male
0.1826301353,0.0489745492,0.1766180049,0.1526034063,0.2094890511,0.0568856448,1.6285788658,5.586837138,0.9072149735,0.3028143136,0.1854744526,0.1826301353,0.1473509767,0.0199004975,0.262295082,1.0368652344,0.140625,6.8203125,6.6796875,0.2058479532,male
0.1964632623,0.0576063825,0.2044070648,0.1561312027,0.2484440706,0.092312868,1.1970406159,4.1099936792,0.922524307,0.3945612922,0,0.1964632623,0.1680378756,0.0181405896,0.275862069,1.0951286765,0.1484375,6.59375,6.4453125,0.2590151515,male
0.1913109154,0.0571228136,0.2087747958,0.1396732789,0.2352392065,0.0955659277,6.9950454818,112.6479883861,0.9076221468,0.3190690577,0.0900116686,0.1913109154,0.0805950836,0.0157170923,0.2253521127,0.1605718085,0.09375,0.4296875,0.3359375,0.1420626896,male
0.1960060205,0.0539300618,0.2033838973,0.1540490082,0.2393232205,0.0852742124,4.0382634669,50.5914623889,0.927145397,0.2962771196,0.0900116686,0.1960060205,0.0810174946,0.0158102767,0.1951219512,0.1472739362,0.09375,0.375,0.28125,0.1763285024,male
0.1914616823,0.0518621797,0.2024951267,0.1531903834,0.2286939571,0.0755035737,4.1965095483,45.8641606224,0.912414048,0.2848722226,0.0900584795,0.1914616823,0.0658274488,0.0162436548,0.2105263158,0.1677827381,0.09375,0.65625,0.5625,0.1056910569,male
0.1937693472,0.0583348771,0.2061978273,0.1493653516,0.2428587764,0.0934934248,5.2512390642,74.4264928624,0.9299162863,0.3818533232,0.0899714122,0.1937693472,0.0783628523,0.0157325467,0.253968254,0.1617838542,0.09375,0.65625,0.5625,0.1332742317,male
0.1949209248,0.0562848043,0.2084304933,0.148161435,0.2423318386,0.0941704036,6.9836674875,116.9593093288,0.9240994662,0.314006474,0.0900896861,0.1949209248,0.0634751795,0.0156709109,0.2191780822,0.1479591837,0.09375,0.3671875,0.2734375,0.0988095238,male
0.1938081888,0.0549691047,0.2022328114,0.1524846835,0.2411164057,0.0886317223,4.0579085749,44.4470392584,0.9147997052,0.2998627022,0.0899659632,0.1938081888,0.0831278933,0.0162601626,0.25,0.2301829268,0.0078125,1.984375,1.9765625,0.1169960474,male
0.1935889974,0.0523506508,0.2015359477,0.1637908497,0.235620915,0.0718300654,5.4177127629,66.0911654026,0.909692503,0.2952223082,0.090130719,0.1935889974,0.0815047321,0.0161453078,0.262295082,0.2568933824,0.0078125,3.2421875,3.234375,0.0817596252,male
0.1982953559,0.0545543032,0.214516129,0.1558064516,0.2368914956,0.081085044,3.8449593861,33.6801134379,0.9037553521,0.2716010741,0.0901173021,0.1982953559,0.1120227484,0.017679558,0.275862069,0.2770182292,0.0078125,2.0703125,2.0625,0.0929924242,male
0.1987780459,0.0567545099,0.2106158358,0.1597067449,0.2416129032,0.0819061584,6.2303347672,85.9967916196,0.9059790774,0.3079648768,0.0901173021,0.1987780459,0.0721357332,0.0178970917,0.1509433962,0.1455592105,0.09375,0.421875,0.328125,0.1267696268,male
0.2063122354,0.0546417923,0.2185158151,0.1629927007,0.2575182482,0.0945255474,3.9577254994,34.3191654013,0.9112151793,0.2576294355,0.0900973236,0.2063122354,0.0730513263,0.0157946693,0.1975308642,0.1592013889,0.09375,0.3828125,0.2890625,0.2444717445,male
0.1177777029,0.0795275666,0.1111764706,0.0467352941,0.1968235294,0.1500882353,23.5380614442,671.834241093,0.9019135704,0.5628342336,0,0.1177777029,0.0911465863,0.0156402737,0.275862069,0.0078125,0.0078125,0.0078125,0,0,male
0.1057820275,0.0812468622,0.1027892433,0.0227642276,0.1882426517,0.165478424,27.9529006755,903.7890859526,0.8932997518,0.5535526207,0,0.1057820275,0.0879181734,0.0161290323,0.2666666667,0.0078125,0.0078125,0.0078125,0,0,male
0.1070093638,0.0813125481,0.1027875095,0.0251637471,0.1889413557,0.1637776085,24.705118496,714.6968948971,0.8913478121,0.57677811,0,0.1070093638,0.0759068561,0.016,0.2222222222,0.0078125,0.0078125,0.0078125,0,0,male
0.1190063032,0.0830825145,0.1062138728,0.0455202312,0.2000867052,0.154566474,26.8796750662,812.2040859025,0.8839257365,0.6041489415,0,0.1190063032,0.0929609476,0.0163599182,0.1758241758,0.0078125,0.0078125,0.0078125,0,0,male
0.0825255879,0.080917867,0.0612449098,0.0083071553,0.1296567772,0.1213496219,15.8910015965,402.932610189,0.906001229,0.5616837148,0,0.0825255879,0.087384208,0.0158102767,0.2711864407,0.0079787234,0.0078125,0.015625,0.0078125,0.0434782609,male
0.1306736384,0.0828815442,0.1169641773,0.0822829387,0.2048573163,0.1225743777,27.7051186028,896.6503469797,0.9004028878,0.5844636221,0,0.1306736384,0.0903804423,0.0166147456,0.2388059701,0.0078125,0.0078125,0.0078125,0,0,male
0.2113995724,0.0343615727,0.2095689247,0.1863571767,0.2359639981,0.0496068214,1.8783473089,6.5981547263,0.8817632794,0.1625463906,0.2028043581,0.2113995724,0.15199433,0.0436633663,0.2791139241,1.7492560892,0.0215332031,8.3333496094,8.3118164063,0.1178338626,female
0.2230773591,0.03726989,0.2306796117,0.2015533981,0.2539805825,0.0524271845,1.6157083312,4.9691575222,0.8865705668,0.1584422075,0.2072491909,0.2230773591,0.1442162754,0.0435770751,0.275625,1.1335989145,0.0215332031,8.3979492188,8.3764160156,0.1155526992,female
0.2079588552,0.0390147384,0.2039474876,0.179230421,0.2363965595,0.0571661385,1.6368487885,5.8528571096,0.8936801439,0.1668827622,0.2031869624,0.2079588552,0.1462326071,0.0440559441,0.2791139241,1.7324946963,0.0215332031,8.785546875,8.7640136719,0.1320362131,female
0.2170272625,0.03999951,0.2154023937,0.1846636401,0.2508790755,0.0662154354,1.1506237328,3.3550100322,0.8960058559,0.1759546497,0.2053487412,0.2170272625,0.1452483754,0.0433202358,0.2791139241,1.3407753733,0.0215332031,8.8716796875,8.8501464844,0.1233229058,female
